nop;masukkan_nomor_npwp_badan_usaha;masukkan_alamat_npwp_anda;x;y
317503100101500130;210364048043000;JL. Raya Boulevard Barat Blok XC.07, Kelapa Gading barat, Kelapa Gading, Jakarta utara;106,898393;-6,156829422
317103000602504570;210364048017001;JL. Pejaten Raya No. 45 A, Rt 04/06 Kel. pejaten barat Kec. Psr Minggu, Jakarta Selatan;106,8395502;-6,279139455
;026279277451001;Kp KaduRT 003/001 Bunder Cikupa Tangerang;106,7811;-6,15067
317105000600700150;210364048019002;JL. Bulungan No. 18, Rt 011/07 Kel. Kramat Pela Kec.Kebayoran baru, Jakarta Selatan;106,7961154;-6,242726597
317104000500100030;210364048014004;Gedung Telkom Landmark Tower Lt 8 Unit R 5-6, JL. Jend. Gatot Subroto Kav. 52;106,8179503;-6,230395079
317105000400200060;210364048064001;JL. Wolter Monginsidi No. 62;106,8115514;-6,239146766
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,7270336;-6,129422171
317105000500701280;210364048064002;JL. Melawai raya no. 16 Rt 02/01 kel. melawai kec.keb baru, jakarta selatan;106,8000982;-6,245747993
317107000300401170;210364048015001;JL. Lapangan Roos raya No. 36 F, Rt 001/01 tebet timur Kec. Tebet , Jakarta Selatan;106,8580581;-6,225889035
317104100600100010;210364048061002;SMESCO TOWER , JL. Jend Gatot Subroto Kav. 94 Kel. Pancoran Kec. Pancoran, Jakarta Selatan;106,8362206;-6,241967465
317405000201500010;210364048032003;JL. Hayam Wuruk No. 108 Kel. Maphar Kec. Tamansari , Jakarta Barat;106,817622;-6,151783849
317405000200802340;210364048011000;Graha Familymart Lt 3A JL. Setiabudi selatan Kav. 10;106,8187223;-6,156369206
317106000400400180;210364048011008;Gedung Puri Matari 2 Lt GF, JL. HR.Rasuna Said Kav. H 1-2;106,8292903;-6,21383957
317306000102901010;210364048011000;Graha Familymart Lt 3A, JL. Setiabudi Selatan Kav. 10;106,8307785;-6,167403229
317105000601300110;210364048011000;Graha Familymart  Lt 3A , JL. Setiabudi Selatan Kav. 10;106,7918391;-6,24669949
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,7372394;-6,222737335
317405000600935470;210364048032002;JL.HAYAM WURUK NO. 127 LTC GLODOK;106,8175618;-6,145407238
317301000300403450;210364048022007;JL. KH. MAS MANSYUR KAV. 35;106,8168675;-6,205493635
;84.503.770.4-416.000;Gedung ALFA TOWER Lt.28, Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8240676;-6,1877594
317503100301814780;210364048043006;JL. Pegangsaan Dua No. 3;106,9169339;-6,153785095
317106000201001670;210364048067002;GD. PATRA JASA OFFICE TOWER , LT. DASAR RUANG E.2, JL. JEND. GATOT SUBROTO KAV. 32-34;106,8230369;-6,233457456
31.72.020.007.005-0078.0;01.336.238.09-403.001;Jl. Raya Karadenan Rt. 01 Rw. 10, Bojong Kulur, Gunung Putri, Bogor;106,8675593;-6,2463015
;;;106,7168938;-6,139584326
31.75.030.004.005.0444.0;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,9188967;-6,116267714
317305000500800610;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,85579;-6,16647
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,8753995;-6,329441246
;84.503.770.4-416.000;GEDUNG ALFA TOWER Lt 28Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8585148;-6,1902753
21.72.050.022.0080.0;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,6647552;-6,2332928
;026279277451001;Kp. Kadu RT 003/001 Bunder Cikupa Tangerang;106,885111;-6,223221337
5i.7J, .031.002.018~0455:.Q.;013362389054000;GEDUNG ALFA TOWER Lantai 12 Jalan Jalur Sutera Barat Kav. 9 Alam Sutera Panunggangan Timur Pinang Kota Tangerang Banten;106,8207485;-6,347044079
31.72.031.006.003.001.0;013362389054000;GEDUNG ALFA TOWER Lantai 12 Jalan Jalur Sutera Barat Kav. 9 Alam Sutera Panunggangan Timur Pinang Kota Tangerang Banten;106,778499;-6,309692237
-;013362389054000;GEDUNG ALFA TOWER Lantai 12 Jalan Jalur Sutera Barat Kav. 9 Alam Sutera Panunggangan Timur Pinang Kota Tangerang Banten;106,8151688;-6,247464733
;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,9049269;-6,159724791
;026279277451001;Kp. Kadu RT 003/001 Bunder Cikupa Tangerang;106,8559219;-6,275917327
317204000300500330;013362389054000;GEDUNG ALFA TOWER LANTAI 12 KAV 9 JALAN JALUR SUTERA BARAT ALAM SUTERA PANUNGGANGAN TIMUR PINANG KOTA TANGERANG BANTEN;106,8788655;-6,213062613
317501100200412850;013362389054000;GEDUNG ALFA TOWER Lantai 12 Jalan Jalur Sutera Barat Kav. 9 Alam Sutera Panunggangan Timur Pinang Kota Tangerang Banten;106,8389501;-6,131214011
317203100400803570;013362389054000;GEDUNG ALFA TOWER LANTAI 12 KAV 9 JALAN SUTERA BARAT ALAM SUTERA PANUNGGANGAN TIMUR PINANG KOTA TANGERANG BANTEN;106,9450917;-6,228414
317502000201100920;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,8626675;-6,150886406
317206000202302780;013362389054000;GEDUNG ALFA TOWER LANTAI 12 KAV 8 JALAN SUTERA BARAT ALAM SUTERA PANUNGGANGAN TIMUR PINANG KOTA TANGERANG BANTEN;106,9350923;-6,200836645
317307000100400620;13362389054000;GEDUNG ALFA TOWER Lantai 12 Jalan Jalur Sutera Barat Kav. 9 Alam Sutera Panunggangan Timur Pinang Kota Tangerang Banten;106,8087525;-6,171273668
317303000100900950;210364048011000;GRAHA FAMILYMART LT 3A, JL. SETIABUDI SELATAN KAV. 10;106,8517543;-6,200455263
317301000301700770;210364048022004;GD. ANZ TOWER LT. LOBBY , JL. JEND. SUDIRMAN KAV. 33 A;106,8175136;-6,213559014
;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,9049443;-6,159759622
317504000206001480;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,9446635;-6,15397698
;84.503.770.4-416.000;GEDUNG ALFA TOWER LT.28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8019775;-6,2270654
317503100101500050;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,9015163;-6,158420843
;84.503.770.4-416.000;GEDUNG ALFA TOWER Lt.28Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8631744;-6,1928313
;84.503.770.4-416.000;GEDUNG ALFATOWER Lt. 28,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8247312;-6,1977542
317203000801200870;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,8625292;-6,215551199
;02.672.927.7-451.001;KP KADU RT 003 RW 001, BUNDER/CIKUPA , TANGERANG;106,860046;-6,2910598
;02.672.927.7-451.001;KP KADU RT 003 RW 001, BUNDER/CIKUPA , TANGERANG;106,9185305;-6,2204671
;84.503.770.4-416.000;GEDUNG ALFATOWER Lt 28, Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,7992459;-6,223545
;02.672.927.7-451.001;KP KADU RT 003 RW 001, BUNDER/CIKUPA , TANGERANG;106,8960634;-6,3499679
;02.672.927.7-451.001;KP KADU 003/001,BUNDER/CIKUPA , TANGERANG;106,869167;-6,1435954
;02.672.927.7-451.001;KP KADU RT 003 RW 001, BUNDER/CIKUPA , TANGERANG;106,9426322;-6,2447742
;02.672.927.7-451.001;KP KADU RT 003 RW 001, BUNDER/CIKUPA , TANGERANG;106,9000468;-6,2175784
;;;106,7477704;-6,132186846
;;;106,7148886;-6,148306568
317504000100400010;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,9232782;-6,144933056
;02.672.927.7-451.001;KP KADU 003/001,BUNDER/CIKUPA, TANGERANG;106,9009747;-6,1870758
;;;106,7304069;-6,154613324
317501000400500280;210364048047001;JL. Pluit karang ayu Blok B. I Utara Lt GF Unit GC 19-26;106,7788922;-6,108448553
;;;106,7649907;-6,14526638
-;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,9215472;-6,248831676
;01.337.994.6-092.000;JL. ANCOL BARAT 1 NO. 09-10;106,86646;-6,2686
317503100104819710;210364048043003;JL. BOULEVARD BARAT RAYA, ITALIAN WALK BLOK. B 55-56;106,8904714;-6,15105132
317202000700100970;210364048005002;JL. MT. HARYONO KAV. 20;106,8660883;-6,244698783
;84.503.770.4-416.000;GEDUNG ALFATOWER Lt. 28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8438441;-6,173919
317105000500600450;210364048064003;JL. ISKANDARSYAH II NO. 2;106,803605;-6,244963681
31710300300201550;210364048017003;18 OFFICE PARK, JL. TB. SIMATUPANG NO. 18;106,8315148;-6,299245321
317104100200800040;210364048061001;JL. KALIBATA RAYA NO. 1;106,8532706;-6,25658945
317301000300300910;210364048022001;GD. WISMA KEIAI LT. 1 , JL. JENDERAL SUDIRMAN KAV. 3;106,8215088;-6,205970175
317103000100601780;210364048017002;GD. RATU PRABU 2 LT. GF , JL. TB.SIMATUPANG KAV. 1 B;106,8085726;-6,291475585
317305000401500950;01.337.994.6-092.000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,8577591;-6,161767112
317203100201205500;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,9235492;-6,221213865
;013379946403002;JL. ALTERNATIF SENTUL KANDANG RODA RT 01 / 010;106,8836278;-6,351966667
;026279277451001;Kp. Kadu RT 003/001 Bunder Cikupa Tangerang;106,8601374;-6,291027239
;84.503.770.4-416.000;GEDUNG ALFA TOWER Lt. 28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8203983;-6,2092415
317104000500600430;210364048014001;GD.CITY PLAZA-WISMA MULIA, JL. JEND.GATOT SUBROTO NO. 42;106,8235159;-6,23579622
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,8662574;-6,249320133
317106000400100210;210364048011001;GD. WTC 2 LT LG , JL. JEND. SUDIRMAN KAV. 29-31;106,8214965;-6,215371496
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,852516;-6,329929228
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,8676432;-6,234974447
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,935033;-6,245571337
;026279277451001;Kp Kadu RT 003/002 Bunder Cikupa Tangerang;106,8683017;-6,287990891
;02.672.972.7-451.001;KP KADU 003/001,BUNDER/CIKUPA ,TANGERANG;106,9073604;-6,3093161
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,8867802;-6,369422918
;02.672.927.7-451.001;KP KADU 003/001, BUNDER,CIKUPA ,TANGERANG;106,7945759;-6,2808783
317107000102403090;210364048015002;GD. MENARA BIDAKARA 1 LT. DASAR, JL. JEND.GATOT SUBROTO KAV. 71-73;106,8412108;-6,241665274
317502000600800010;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,6637973;-6,233127308
317107000102403090;210364048015002;GD MENARA BIDAKARA , JL. JEND. GATOT SUBROTO KAV. 71-73;106,8414236;-6,24071378
317106000200236340;210364048067003;GD. THE EAST LT. 2 UNIT 01, JL. Dr. Ide Anak Agung Gde Agung Kav. E.3.2.No. 1;106,8250768;-6,229232087
317106000100500070;210364048063001;GD. MENARA MULIA SUITE LG-10, JL. JEND. GATOT SUBROTO KAV. 9-11;106,8169058;-6,224252113
317106000700905750;210364048018007;JL. HR. RASUNA SAID  LANTAI LG-02 NO. 1;106,8316075;-6,210249991
;02.673.927.7-451.001;KP KADU 003/001 ,BUNDER/CIKUPA, TANGERANG;106,8821363;-6,150085239
317301000300200030;210364048022005;WISMA 46-KOTA BNI LT .1 SUITE 1.04, JL. JEND. SUDIRMAN KAV. 1;106,8204654;-6,20360634
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,9350519;-6,245488891
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,9365451;-6,224502668
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,897717;-6,197909706
317105001000100070;210364048012004;GD.CIMB NIAGA LT.BASEMENT ,JL. JEND. SUDIRMAN KAV. 58;106,8058565;-6,225010589
317106000800100010;210364048018001;LANDMARK CENTRE TOWER 1 LT. GF, JL. JEND. SUDIRMAN NO. 1;106,8241419;-6,203780273
317503100100301910;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,6647552;-6,2332928
317502000103800250;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,8639018;-6,145533233
317503100104206400;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,8947127;-6,147006064
317502000500302700;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,8720968;-6,122318407
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,8627344;-6,286414889
317503100104200700;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,8533786;-6,181768042
;84.503.770.4-461.000;GEDUNG ALFA TOWER LT.28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8344464;-6,239808502
317106000200200770;210364048067001;GD. MENARA PRIMA LT. BASEMENT , KAWASAN MEGA KUNINGAN;106,8262504;-6,230376661
317105001000100210;210364048012001;GED. BURSA EFEK INDONESIA TOWER 2 LT. 1 SUITE 105, JL. JEND. SUDIRMAN KAV. 52-53;106,8087008;-6,22398388
;;026279277451001;106,8911218;-6,225320413
;02.672.927.7-451.001;KP KADU RT 003 RW 001,BUNDER/CIKUPA , TANGERANG;106,9066814;-6,1152026
317401000502902010;210364048039001;APT MENARA KEBON JERUK LT. DASAR KION N0. 7, JL. ARJUNA UTARA;106,7779119;-6,186515068
3172031007001800030;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,9103385;-6,221032492
;84.503.770.4-416.000;GEDUNG ALFA TOWER Lt. 28 , Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8756091;-6,1654112
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,8438784;-6,161734668
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,8618961;-6,183107638
;84.503.770.4-416.000;GEDUNG ALFATOWER Lt. 28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8208318;-6,1926208
317203100105100540;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,8943011;-6,23046749
317503100101620370;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,906;-6,165
317201200500301090;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,8933728;-6,34165623
;02.672.927.7-451.001;KP KADU 003/001, BUNDER/CIKUPA, TANGERANG;106,818606;-6,1902498
317105001000100090;210364048012002;GED. SUMMITMAS 2 , JL. JEND SUDIRMAN KAV. 61-62;106,8045232;-6,226341939
;013379946403002;ALTERNATIF SENTUL KANDANG RODA RT 01 / 10;106,9014449;-6,339705305
;84.503.770.4-416.000;GEDUNG ALFATOWER Lt. 28, Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8306786;-6,1767939
;01.337.994.6-092.000;JL ANCOL 1/9-10, KEL. ANCOL, KEC. PADEMANGAN, JAKARTA UTARA;106,84002;-6,1758
;026279277451001;Kp Kadu RT 003/001 Bunder Cikupa Tangerang;106,8579391;-6,174483408
317203000301800030;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,8778046;-6,235303913
-;013362389054000;GEDUNG ALFA TOWER lantai 12 Jalan Jalur Sutera Barat KAV 9 Alam Sutera Penunggangan Timur Pinang Kota Tangerang;106,9551534;-6,225252162
;01.337.994.6-092.000;JL.ANCOL 1/9-10 KELURAHAN ANCOL KECAMATAN PADEMANGAN JAKARTA UTARA;106,76381;-6,13595
;01.337.994.6-092.000;JL. ANCOL BARAT 1 NO. 9-10;106,7909026;-6,133335954
;01.337.994.6-092.000;JL. ANCOL BARAT 1 NO 09 - 10;106,8402895;-6,224478693
;01.337.994.6-092.000;JL. ANCOL BARAT 1 NO.09-10;106,8557019;-6,197637761
;84.503.770.4-416.000;GEDUNG ALFA TOWER LT.28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8278203;-6,2293214
;02.672.927.7-451.001;KP KADU RT 003 RW 001,BUNDER/CIKUPA , TANGERANG;106,9166293;-6,1230504
;02.672.927.7-451.001;KP KADU 003/001,BUNDER/CIKUPA ,TANGERANG;106,8122125;-6,2119336
317503100101700370;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,8937934;-6,15905575
;02.672.927.7-451.001;KP KADU 003/001 ,BUNDER/CIKUPA ,TANGERANG;106,8032475;-6,3460011
;02.672.927.7-451.001;KP KADU 003/001,BUNDER/CIKUPA , TANGERANG;106,7603875;-6,2288862
;02.672.927.7-451.001;KP KADU 003/001,BUNDER/CIKUPA , TANGERANG;106,7570885;-6,2464908
;02.672.927.7-451.001;KP KADU 003/001,BUNDER/CIKUPA ,TANGERANG;106,8207464;-6,18906099
;01.337.994.6-092.000;JL. ANCOL BARAT 1 NO. 09-10;106,8194467;-6,217754239
317106000200200180;210364048011004;RDTX TOWER, JL. PTOF. DR. SATRIO KAV. E IV NO. 6;106,8254585;-6,224527867
317503100104800490;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,8925609;-6,150038079
;01.337.994.6-092.000;JL. ANCOL BARAT 1 NO 09-10;106,81703;-6,19674
;84.503.770.4-416.000;GEDUNG ALFA TOWER LT.28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8504425;-6,2103553
;02.672.927.7-451.001;KP KADU RT 003 RW 001,BUNDER/CIKUPA , TANGERANG;106,9067588;-6,1128544
;02.672.927.7-451.001;KP KADU 003/001, BUNDER/CIKUPA,TANGERANG;106,8150092;-6,2723814
;02.672.927.7-451.001;KP KADU 003/001, BUNDER/CIKUPA ,TANGERANG;106,8282653;-6,3335739
;02.672.927.7-451.001;KP KADU 003/001, BUNDER/CIKUPA , TANGERANG;106,7797529;-6,2302931
;02.672.927.7-451.001;KP KADU 003/001,BUNDER/CIKUPA , TANGERANG;106,8212559;-6,2265654
317106000201003150;210364048011000;GRAHA FAMILYMART LT 3A, JL. SETIABUDI SELATAN KAV. 10;106,8216556;-6,231431372
;01.337.994.6-092.000;JL. ANCOL BARAT 1 NO. 09-10;106,8156381;-6,210443148
;84.503.770.4-416.000;GEDUNG ALFA TOWER Lt. 28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8212521;-6,2072045
;01.337.994.6-092.000;JL. ANCOL BARAT 1 NO. 09-10;106,8301518;-6,176490663
;84.503.770.4-416.000;GEDUNG ALFA TOWER LT.28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,8236773;-6,2024404
;02.672.927.7-451.001;KP KADU 003/001 ,BUNDER/CIKUPA , TANGERANG;106,8808554;-6,1185203
;02.672.927.7-451.001;KP KADU 003/001, BUNDER/CIKUPA ,TANGERANG;106,8381449;-6,2844031
;02.672.927.7-451.001;KP KADU 003/001,BUNDER/CIKUPA , TANGERANG;106,818621;-6,3217227
;02.672.927.7-451.001;KP KADU 003/001,BUNDER/CIKUPA , TANGERANG;106,8254527;-6,24795
317104000500300040;210364048011000;GRAHA FAMILYMART LT. 3A ,JL. SETIABUDI SELATAN KAV. 10;106,8221952;-6,234269272
;84.503.770.4-416.000;GEDUNG ALFA TOWER LT. 28 ,Jl. Jalur Sutera Bar. No.Kav. 7, RW.9, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;106,7376273;-6,2111728
317401000500504230;13362389054000;GEDUNG ALFA TOWER Lantai 12 Jalan Jalur Sutera Barat Kav. 9 Alam Sutera, Panunggangan Timur Pinang, Kota Tangerang, Banten;106,8207464;-6,18906099
317102000301507440;210364048016003;ALAMANDA TOWER LT. MEZZANINE;106,8046782;-6,291039839
;02.672.927.7-451.001;KP KADU 003/001,BUNDER/CIKUPA , TANGERANG;106,7350745;-6,220164
317503100101701520;013379946092000;Jl. Ancol I/9-10 Kel. Ancol Kec. Pademangan Jakarta Utara;106,8709603;-6,137311779
